code,name,weekly_hours,lecturer_email,student_group_names,is_online
CHEM301,Organic Chemistry II,3,a.odunsi@stateuniv.edu,CHEM-3A|CHEM-3B,false
CHEM302,Physical Chemistry II,3,s.aliyu@stateuniv.edu,CHEM-3A|CHEM-3B,false
CHEM401,Industrial Chemistry,3,n.achebe@stateuniv.edu,CHEM-4A|CHEM-4B,false
CHEM402,Research Project,4,o.falade@stateuniv.edu,CHEM-4A|CHEM-4B,false
PHYS101,General Physics I,4,z.ibrahim@stateuniv.edu,PHYS-1A|PHYS-1B,false
PHYS102,General Physics II,4,e.okafor@stateuniv.edu,PHYS-1A|PHYS-1B,false
PHYS103,Mechanics,3,d.ajayi@stateuniv.edu,PHYS-1A|PHYS-1B,false
PHYS201,Electromagnetism,4,h.shehu@stateuniv.edu,PHYS-2A|PHYS-2B,false
PHYS202,Optics,3,o.okeke@stateuniv.edu,PHYS-2A|PHYS-2B,false
PHYS203,Thermodynamics,3,s.adeyinka@stateuniv.edu,PHYS-2A|PHYS-2B,false
PHYS301,Quantum Mechanics,4,c.udo@stateuniv.edu,PHYS-3A|PHYS-3B,false
PHYS302,Nuclear Physics,3,a.tanko@stateuniv.edu,PHYS-3A|PHYS-3B,false
PHYS401,Solid State Physics,3,y.oladimmeji@stateuniv.edu,PHYS-4A|PHYS-4B,false
PHYS402,Research Project,4,e.onwu@stateuniv.edu,PHYS-4A|PHYS-4B,false
MATH101,Calculus I,4,j.akindele@stateuniv.edu,MATH-1A|MATH-1B,false
MATH102,Calculus II,4,h.audu@stateuniv.edu,MATH-1A|MATH-1B,false
MATH103,Linear Algebra,3,t.ibe@stateuniv.edu,MATH-1A|MATH-1B,false
MATH201,Advanced Calculus,4,m.afolabi@stateuniv.edu,MATH-2A|MATH-2B,false
MATH202,Differential Equations,3,s.danjuma@stateuniv.edu,MATH-2A|MATH-2B,false
MATH203,Abstract Algebra,3,n.azuka@stateuniv.edu,MATH-2A|MATH-2B,false
MATH301,Real Analysis,4,f.ogunnaike@stateuniv.edu,MATH-3A|MATH-3B,false
MATH302,Complex Analysis,3,a.sadiq@stateuniv.edu,MATH-3A|MATH-3B,false
MATH401,Numerical Analysis,3,a.ejiofor@stateuniv.edu,MATH-4A|MATH-4B,false
MATH402,Research Project,4,o.adeniyi@stateuniv.edu,MATH-4A|MATH-4B,false
ENGL101,Introduction to Literature,3,r.danladi@stateuniv.edu,ENGL-1A|ENGL-1B,false
ENGL102,English Grammar,3,u.nweke@stateuniv.edu,ENGL-1A|ENGL-1B,false
ENGL103,Creative Writing,2,t.oyeleke@stateuniv.edu,ENGL-1A|ENGL-1B,false
ENGL201,African Literature,3,a.garba@stateuniv.edu,ENGL-2A|ENGL-2B,false
ENGL202,Drama,3,k.onyema@stateuniv.edu,ENGL-2A|ENGL-2B,false
ENGL203,Poetry,3,l.kwankwaso@stateuniv.edu,ENGL-2A|ENGL-2B,false
ENGL301,Literary Criticism,3,y.ogunyemi@stateuniv.edu,ENGL-3A|ENGL-3B,false
ENGL302,Linguistics,3,c.nwankwo@stateuniv.edu,ENGL-3A|ENGL-3B,false
ENGL401,Shakespeare,3,t.adesanya@stateuniv.edu,ENGL-4A|ENGL-4B,false
ENGL402,Research Project,4,n.jibril@stateuniv.edu,ENGL-4A|ENGL-4B,false
GNS101,Use of English I,2,i.ugwu@stateuniv.edu,COSC-1A|COSC-1B|COSC-1C|COSC-1D|SENG-1A|SENG-1B|SENG-1C|SENG-1D|INFT-1A|INFT-1B|INFT-1C|EENG-1A|EENG-1B|EENG-1C|EENG-1D|MENG-1A|MENG-1B|MENG-1C|MENG-1D,true
GNS102,Use of English II,2,r.fagbenle@stateuniv.edu,COSC-1A|COSC-1B|COSC-1C|COSC-1D|SENG-1A|SENG-1B|SENG-1C|SENG-1D|INFT-1A|INFT-1B|INFT-1C|EENG-1A|EENG-1B|EENG-1C|EENG-1D|MENG-1A|MENG-1B|MENG-1C|MENG-1D,true
GNS103,Citizenship Education,2,m.yaro@stateuniv.edu,COSC-1A|COSC-1B|COSC-1C|COSC-1D|SENG-1A|SENG-1B|SENG-1C|SENG-1D|INFT-1A|INFT-1B|INFT-1C|CENG-1A|CENG-1B|CENG-1C|CENG-1D|MED-1A|MED-1B|MED-1C,true
GNS201,Nigerian History,2,o.awolowo@stateuniv.edu,COSC-2A|COSC-2B|COSC-2C|COSC-2D|SENG-2A|SENG-2B|SENG-2C|SENG-2D|INFT-2A|INFT-2B|INFT-2C|LAW-2A|LAW-2B|LAW-2C|ACCT-2A|ACCT-2B|ACCT-2C,true
GNS202,Philosophy and Logic,2,c.ike@stateuniv.edu,COSC-2A|COSC-2B|COSC-2C|COSC-2D|SENG-2A|SENG-2B|SENG-2C|SENG-2D|BADM-2A|BADM-2B|BADM-2C|BADM-2D|ECON-2A|ECON-2B|ECON-2C,true
